bibkey,paper,task,subject,age,gender,choice,r,country
Hopfensitz2019,Hopfensitz et al. 2019,EG,22,36,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,23,43,0,4,0.37433754494180904,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,24,47,0,2,-2.0545645806123503,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,25,52,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,26,63,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,27,27,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,28,41,0,4,0.3972111927717924,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,29,33,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,30,36,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,31,45,0,2,-0.21764791618334156,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,32,29,0,2,-0.973497194366064,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,33,56,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,34,45,0,2,-1.9476047857664525,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,35,29,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,36,22,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,37,23,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,38,60,0,2,-1.2469511758885348,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,39,36,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,40,60,0,2,-1.197247216559481,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,41,26,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,42,65,0,4,0.4631023378460668,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,43,35,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,44,17,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,45,21,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,46,40,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,47,41,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,48,21,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,49,34,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,50,52,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,51,47,0,4,0.46538893705466766,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,52,47,0,4,0.48662480583414436,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,53,62,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,54,28,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,55,60,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,56,21,0,2,-1.4097018917207607,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,57,53,0,2,-1.2351401182706467,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,58,53,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,59,26,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,60,29,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,61,56,0,2,-2.175787349289749,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,62,52,0,3,-0.03186104567721486,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,63,29,0,4,0.3226236057165079,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,64,21,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,65,19,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,66,25,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,67,56,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,68,48,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,69,27,0,4,0.48225564673077315,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,70,19,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,71,46,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,72,45,0,1,-2.25,Colombia
