bibkey,paper,task,subject,choice,r,age,soep,soep_financial,gender,country,city,latitude,longitude
Veldhuizen2022,Veldhuizen 2022,HL,15,6,0.8253009311505594,29,3,0,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,16,6,1,27,7,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,16,1,-0.61,27,7,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,17,2,-2.3876937576942145,26,1,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,17,4,0.36847850725986064,26,1,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,18,1,-2.46,29,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,18,4,0.4571305868122727,29,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,19,3,0.12158783721737562,24,5,5,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,19,7,1.36859752781922,24,5,5,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,20,3,0.2733058747230097,20,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,20,5,0.7392744590900839,20,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,21,3,0.2551998717105015,22,8,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,21,5,0.66436324859038,22,8,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,22,1,-2.46,38,8,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,22,7,1.290385418261867,38,8,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,23,6,1,20,7,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,23,10,2.75,20,7,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,24,3,-0.04897433265810834,25,2,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,24,3,-0.05398591639008374,25,2,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,25,6,1,22,3,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,25,5,0.5132104779034853,22,3,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,26,3,0.18788179582683365,21,1,0,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,26,3,0.08025048239156601,21,1,0,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,27,6,1,24,8,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,27,8,1.912076493576169,24,8,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,28,6,1,23,2,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,28,6,0.9963752336706967,23,2,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,29,2,-1.4205577109381557,21,6,5,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,29,4,0.3701977151585743,21,6,5,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,30,2,-2.3624886331520973,28,7,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,30,5,0.7002248836588115,28,7,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,31,3,-0.05091574205085636,20,5,1,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,31,4,0.28103731823153794,20,5,1,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,32,6,1,21,5,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,32,4,0.38424893737770616,21,5,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,33,6,1,19,8,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,33,7,1.233120514850598,19,8,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,34,6,1,22,9,0,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,34,6,1.091612965478562,22,9,0,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,35,6,1,25,3,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,35,6,0.9695929940347561,25,3,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,36,3,-0.046250925436615964,23,6,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,36,4,0.42561685216147455,23,6,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,37,6,1,25,3,5,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,37,10,2.75,25,3,5,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,38,4,0.3297078722389415,23,7,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,38,6,1.115899056941271,23,7,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,39,6,1,27,3,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,39,5,0.7270940757030622,27,3,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,40,5,0.5952802646206692,20,3,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,40,6,0.8755637136450969,20,3,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,41,1,-2.46,25,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,41,6,1.077531948327087,25,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,42,6,1,26,7,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,42,5,0.5533762807399034,26,7,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,43,6,1,28,8,9,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,43,8,1.7212325095012784,28,8,9,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,44,1,-2.46,25,3,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,44,6,0.8489377819630318,25,3,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,45,6,1,26,1,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,46,6,1,20,7,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,46,10,2.75,20,7,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,47,1,-2.46,20,0,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,47,4,0.21378787242807448,20,0,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,48,3,0.1279556805361062,20,7,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,48,5,0.550926735335961,20,7,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,49,4,0.3802186701563187,24,7,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,49,6,0.9213342382200063,24,7,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,50,3,-0.002635846300981959,55,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,50,3,-0.11330919723026456,55,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,51,2,-0.9575380038609729,24,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,51,6,0.8674951493297705,24,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,52,3,0.1529913279088214,18,4,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,52,4,0.37149468699004506,18,4,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,53,2,-0.9329064437095076,20,6,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,53,5,0.7126732881087811,20,6,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,54,3,0.08609851165441793,19,4,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,54,5,0.6133854935551062,19,4,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,55,6,1,24,6,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,55,5,0.6489165703905746,24,6,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,56,4,0.45319565476384016,27,4,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,56,3,0.15598914830945432,27,4,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,57,3,-0.009786059395410135,23,7,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,57,6,1.1015958913764918,23,7,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,58,6,1,24,4,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,58,3,0.19758849395904687,24,4,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,59,4,0.4880168960895389,38,4,4,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,59,4,0.432065285872668,38,4,4,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,60,6,1,21,9,9,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,60,6,0.9669771764334292,21,9,9,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,61,5,0.7800241821678355,24,8,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,61,5,0.7955645724339411,24,8,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,62,6,1,20,3,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,62,5,0.6239188594417646,20,3,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,63,6,1,30,0,1,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,63,6,0.8822890297928826,30,0,1,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,64,5,0.8412429800955579,21,5,4,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,64,6,0.8527971003041603,21,5,4,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,65,1,-2.46,24,5,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,65,6,0.8833153555099853,24,5,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,66,6,1,22,4,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,66,4,0.35075745174195616,22,4,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,67,5,0.9161512653809041,25,5,5,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,67,5,0.7957495514675975,25,5,5,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,68,6,1,26,9,6,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,68,10,2.75,26,9,6,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,69,2,-1.4479263476235793,29,4,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,69,7,1.1466093117068523,29,4,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,70,3,0.0551175765902735,25,5,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,70,6,0.9643829723843375,25,5,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,71,4,0.32395189337898045,23,5,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,71,6,1.0620175279700197,23,5,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,72,5,0.5839577700244263,24,4,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,72,6,0.92596357550239194,24,4,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,73,2,-1.6229811180755496,28,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,73,3,0.04347799398470667,28,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,74,5,0.6437579044140875,23,3,4,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,74,4,0.37061903487425296,23,3,4,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,75,5,0.7632435646373779,21,4,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,75,5,0.780556561765261,21,4,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,76,3,0.0936865186761133,25,5,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,76,3,0.09706682393327354,25,5,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,77,6,1,26,8,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,77,7,1.3669488202477806,26,8,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,78,6,1,20,7,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,78,6,0.9157964364578948,20,7,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,79,1,-2.46,27,3,4,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,79,1,-0.61,27,3,4,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,80,6,1,25,5,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,80,4,0.3624234835524112,25,5,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,81,4,0.29353907465934753,23,3,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,81,6,0.9560272565996275,23,3,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,82,3,-0.030796626759693052,21,5,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,82,6,1.0551549870939927,21,5,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,83,3,0.12774701756192366,24,8,6,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,84,6,1,23,3,1,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,84,6,1.0084070986974984,23,3,1,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,85,4,0.4914364279620349,28,8,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,85,7,1.270402739509009,28,8,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,86,6,1,27,6,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,86,8,1.908027689345181,27,6,6,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,87,6,1,37,5,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,88,4,0.3245624139392748,24,2,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,88,6,0.8188222675328144,24,2,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,89,1,-2.46,22,3,1,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,90,4,0.48785516767296944,22,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,90,4,0.4673155614081771,22,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,91,6,1,25,7,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,91,6,0.8276657594367862,25,7,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,92,5,0.9566929631400853,22,3,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,93,6,1,25,2,1,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,93,5,0.6326859297836199,25,2,1,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,94,4,0.3155076178954914,24,9,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,94,6,0.8451246972801164,24,9,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,95,3,0.029587145473342374,19,3,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,95,2,-0.3531335314363241,19,3,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,96,2,-0.18923346678726372,35,0,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,96,0,-0.61,35,0,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,97,6,1,20,9,9,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,97,8,1.9499675690382718,20,9,9,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,98,6,1,21,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,98,6,0.8270021104975604,21,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,99,1,-2.46,18,7,6,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,99,2,-0.29455174811184404,18,7,6,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,100,3,0.009489587284624568,19,5,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,100,3,0.05867931270040569,19,5,7,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,101,3,-0.14834181476850064,19,3,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,101,7,1.424818814205937,19,3,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,102,5,0.6837024226551875,26,5,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,102,4,0.3517130785994232,26,5,1,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,103,3,0.2899037839239462,25,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,103,6,1.0740296781458893,25,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,104,6,1,21,2,0,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,104,6,1.030814228754025,21,2,0,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,105,3,0.1149641938251443,20,2,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
