label,category,group,task,subtask,vmin,vmax
BIS2npl,covar,impuls,barrat,1,,
BISn,covar,impuls,barrat,1,,
BAR,covar,impuls,barrat,1,,
BISa,covar,impuls,barrat,1,,
BISm,covar,impuls,barrat,1,,
BISn,covar,impuls,barrat,1,,
BIS,covar,impuls,barrat,1,,
SStas,covar,impuls,sssv,1,,
SSexp,covar,impuls,sssv,1,,
SSdis,covar,impuls,sssv,1,,
SSbor,covar,impuls,sssv,1,,
SSSV,covar,impuls,sssv,1,,
age,covar,general,age,1,,
sex,covar,general,sex,1,,
loc,covar,general,loc,1,,
ses,covar,general,ses,,,
ses_moth,covar,general,ses_moth,,,
ses_fath,covar,general,ses_fath,,,
sibl,covar,general,sibl,,,
sibl_y,covar,general,sibl_y,,,
sibl_o,covar,general,sibl_o,,,
birthrank,covar,general,birthrank,,,
edu,covar,general,edu,,,
income,covar,general,income,,,
