bibkey,paper,task,subject,age,gender,choice,r,n,soep_patience,soep_impulsive,soep,soep_financial,country
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,14149,25,1,3,0.1265885723917745,0,2,8,7,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,14149,25,1,3,0.29095171322813257,0,2,8,7,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,14165,23,1,4,0.5918789267912508,0,8,9,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,14249,23,1,5,0.7724657314713113,0,6,9,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,15061,22,1,0,-0.02,0,7,5,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,15097,22,1,5,0.7549747665296309,0,1,2,10,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,15172,22,1,6,1.059691048343666,0,8,7,7,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,15172,22,1,3,0.3726651112129912,0,8,7,7,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,15188,22,0,1,-0.37,0,9,7,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,15188,22,0,0,-0.02,0,9,7,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,15207,22,1,5,0.6033254134049639,0,2,1,8,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,15207,22,1,0,-0.02,0,2,1,8,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,16060,21,1,2,-0.19026951685547827,0,5,6,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,16060,21,1,1,0.01737056201323867,0,5,6,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,16111,21,1,3,0.3395587649475783,0,6,6,9,2,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,16141,21,1,4,0.5294833301473408,0,6,7,10,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,16165,21,0,1,-0.37,0,8,3,6,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,16165,21,0,3,0.3994911653525196,0,8,3,6,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,16224,23,1,3,0.07628978117601946,0,9,7,6,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,17057,20,0,4,0.5130811295309103,0,9,6,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,17057,20,0,4,0.5686349058896303,0,9,6,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,17074,20,1,3,0.29211202814476567,0,6,10,5,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,17092,21,0,7,1.292425152552314,0,6,6,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,17112,20,1,2,-0.17037114713340995,0,5,6,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,17126,20,0,1,-0.37,0,4,7,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,17126,20,0,0,-0.02,0,4,7,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,17127,20,1,2,-0.2780804992467165,0,9,10,4,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,17127,20,1,3,0.3622182612144388,0,9,10,4,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,17141,20,1,3,0.10466731857275591,0,11,9,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,17141,20,1,3,0.3765417855675332,0,11,9,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,17164,20,0,3,0.32788337347097696,0,9,9,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,17198,21,1,0,-0.02,0,11,6,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,17203,20,0,7,1.1584703933028504,0,9,9,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,18080,19,1,7,1.1749409172218293,0,4,3,8,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,18080,19,1,4,0.5102282687928528,0,4,3,8,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,18094,19,1,5,0.722628490771167,0,8,8,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,18094,19,1,3,0.35643701253691684,0,8,8,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,18135,20,0,4,0.4217943408666178,0,11,7,8,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,18135,20,0,0,-0.02,0,11,7,8,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,18154,19,1,3,0.20194421333260837,0,6,4,8,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,18190,19,1,4,0.4631148665281944,0,6,1,5,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,18201,20,0,7,1.3291760873189196,0,5,8,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,18201,20,0,5,0.7264926064899191,0,5,8,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,18220,19,1,3,0.39523648963542657,0,8,5,6,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,18232,21,0,2,0.17473309480119498,0,10,10,3,2,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,113058,24,1,2,-0.10043394647538662,0,2,3,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,113058,24,1,4,0.5549384430423379,0,2,3,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,113061,24,0,1,-0.37,0,9,8,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,113061,24,0,1,0.08438275494612754,0,9,8,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,113092,24,1,2,-0.10378945123404265,0,5,8,7,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,113092,24,1,0,-0.02,0,5,8,7,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,113111,24,1,6,1.0556124109448866,0,8,4,6,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,113121,25,0,4,0.5417367726075463,0,9,4,7,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,113121,25,0,2,0.13567112446762622,0,9,4,7,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,113152,24,0,3,0.3193057006155141,0,5,8,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,113152,24,0,3,0.24736478982726112,0,5,8,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,114049,23,1,4,0.5806990669318475,0,8,5,8,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,114049,23,1,4,0.43163092638365924,0,8,5,8,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,114061,25,0,8,1.4946880081528797,0,9,8,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,114061,25,0,3,0.268924106687773,0,9,8,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,114079,23,1,4,0.34143581268144774,0,9,6,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,114079,23,1,5,0.7094514450640418,0,9,6,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,114088,23,0,4,0.3427890707179904,0,5,3,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,114090,23,1,2,-0.2737301931530237,0,4,6,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,114090,23,1,0,-0.02,0,4,6,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,114135,24,0,6,0.9938135035568848,0,7,5,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,115069,23,0,5,0.6243621425726451,0,4,8,4,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,115126,22,0,1,0.0034808107186108835,0,3,4,8,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,116049,21,1,10,3.79,0,5,7,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,116078,21,1,2,-0.18662160735577343,0,6,4,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,116078,21,1,2,0.15017408565618098,0,6,4,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,116088,21,0,4,0.44170291436836123,0,10,8,4,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,116139,21,1,1,-0.37,0,8,9,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,116139,21,1,0,-0.02,0,8,9,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,116141,21,0,3,0.2781989852897823,0,9,8,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,117096,20,1,3,0.03525423948187381,0,9,8,4,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,117096,20,1,0,-0.02,0,9,8,4,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,117121,21,1,6,1.2203790478687733,0,4,6,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,117139,20,1,5,0.7174498557252809,0,8,3,10,2,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,117139,20,1,4,0.49466586973518134,0,8,3,10,2,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,118049,22,0,3,0.25229602547129615,0,6,9,5,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,118054,19,0,3,0.3925710575166158,0,5,10,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,118066,19,1,2,-0.009814260974526368,0,6,6,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,118066,19,1,1,0.03812728177756071,0,6,6,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,118116,20,0,5,0.6511300367908552,0,10,8,8,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,118121,19,1,3,0.2765045268298127,0,8,6,7,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,118127,19,1,4,0.5667840951960533,0,7,4,8,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,118127,19,1,3,0.2476984324469231,0,7,4,8,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,118156,19,0,4,0.46124906179727987,0,5,9,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,118156,19,0,2,0.12766355022322387,0,5,9,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,212059,25,0,7,1.323996516377665,0,11,9,8,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,213145,24,1,4,0.38482043622992934,0,4,9,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,213145,24,1,2,0.18704178989864886,0,4,9,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,214060,23,1,7,1.2844290032424033,0,4,3,3,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,214060,23,1,6,0.8579722681362182,0,4,3,3,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,214061,23,0,8,1.5148537512682378,0,9,9,7,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,214061,23,0,6,1.0418663566512987,0,9,9,7,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,214070,23,1,6,1.0665556367021054,0,9,3,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,214070,23,1,3,0.2728714407864027,0,9,3,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,214097,23,1,6,1.1031283911084755,0,3,4,4,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,214097,23,1,6,1.0387122834613547,0,3,4,4,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,214102,23,1,6,1.0925539927743375,0,9,3,8,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,214110,23,1,5,0.8117872050218284,0,7,10,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,214110,23,1,3,0.20186903530498967,0,7,10,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,214140,23,1,2,-0.2694166164658964,0,11,11,6,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,214140,23,1,0,-0.02,0,11,11,6,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,214147,23,0,3,0.23533690462587403,0,3,6,9,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,214159,23,0,3,0.06995482304366306,0,9,5,4,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,214159,23,0,4,0.5660697443317622,0,9,5,4,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,214168,23,0,6,0.9113839538302272,0,9,11,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,215073,22,0,2,-0.1499100587144494,0,3,6,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,215091,22,0,4,0.3884912661858834,0,10,9,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,215091,22,0,3,0.26278658416122197,0,10,9,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,215118,23,1,5,0.6162767802737653,0,9,8,10,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,215118,23,1,3,0.3287453860300593,0,9,8,10,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,215129,22,1,0,-0.02,0,10,5,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,216049,21,1,2,0.1403965215664357,0,11,6,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,216092,21,1,5,0.6198372981906869,0,4,7,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,216102,21,1,4,0.51249162646709,0,8,8,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,216105,21,1,1,-0.37,0,8,11,10,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,216105,21,1,3,0.2877871346892789,0,8,11,10,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,216125,21,1,1,-0.37,0,5,7,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,216132,21,1,5,0.76758556203451,0,4,8,3,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,216136,21,1,3,0.1514083132729866,0,9,8,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,216136,21,1,2,0.17684212629683316,0,9,8,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,216143,21,1,3,0.2033779740543105,0,8,7,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,216143,21,1,0,-0.02,0,8,7,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,216148,21,1,5,0.8057428104197606,0,4,2,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,216166,21,1,3,0.14099351049168035,0,5,8,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,216166,21,1,0,-0.02,0,5,8,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,217049,20,0,1,-0.37,0,6,6,9,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,217079,20,1,5,0.848665625769645,0,8,7,7,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,217087,20,0,5,0.7988589591998607,0,6,9,9,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,217094,20,1,1,-0.37,0,3,8,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,217094,20,1,2,0.15358496475964786,0,3,8,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,217119,20,1,3,0.11899412582395599,0,7,8,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,217119,20,1,6,1.0714498933870344,0,7,8,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,217135,20,1,6,0.8695476850494742,0,6,6,2,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,217135,20,1,5,0.7160060403845273,0,6,6,2,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,217165,21,0,5,0.7968152143340558,0,6,9,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,217165,21,0,5,0.6393838268774561,0,6,9,7,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,218099,20,1,4,0.3637983934953809,0,1,6,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,218099,20,1,4,0.5766657062247396,0,1,6,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,218110,19,1,5,0.5906218614149839,0,7,7,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,218110,19,1,3,0.31639000732218847,0,7,7,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,218126,20,1,2,-0.05126974292099473,0,11,9,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,218126,20,1,0,-0.02,0,11,9,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,218129,19,1,6,0.8880448104348033,0,3,3,9,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,218129,19,1,4,0.5157417255826294,0,3,3,9,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,218162,19,1,3,0.04160592159256339,0,1,5,6,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,218162,19,1,3,0.20600445891264826,0,1,5,6,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,218174,20,0,1,-0.37,0,6,8,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,218174,20,0,3,0.2530295651149936,0,6,8,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,312074,25,1,2,-0.3343854558467865,0,11,6,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,312106,25,0,5,0.7078852722840383,0,9,8,4,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,312106,25,0,3,0.3285415561310947,0,9,8,4,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,313048,24,0,4,0.4425655943760648,0,5,6,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,313048,24,0,3,0.2936346705304459,0,5,6,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,313051,24,1,4,0.46857479894300924,0,6,9,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,313051,24,1,0,-0.02,0,6,9,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,313077,24,1,4,0.3937379461992532,0,8,8,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,313125,24,0,2,-0.05432740112766621,0,11,9,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,313125,24,0,1,0.005923356087878348,0,11,9,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,314071,23,0,4,0.5451968255056999,0,3,8,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,314089,23,0,5,0.8480194591032341,0,5,9,7,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,314089,23,0,4,0.5117472919542342,0,5,9,7,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,314102,23,1,3,0.25538341646781193,0,9,5,8,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,314114,23,1,5,0.8493371387245133,0,5,11,1,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,314114,23,1,4,0.5153096427116542,0,5,11,1,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,314118,23,0,3,0.20717491125222298,0,9,3,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,314118,23,0,1,0.04111493290401996,0,9,3,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,314150,23,0,6,0.9501836835872381,0,6,6,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,314183,23,1,2,0.1030060247750953,0,8,6,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,314200,23,1,1,-0.37,0,11,1,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,315078,22,0,1,-0.37,0,11,9,5,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,315078,22,0,0,-0.02,0,11,9,5,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,315091,22,1,10,2.71,0,9,8,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,315091,22,1,5,0.6554425027710385,0,9,8,2,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,315097,22,1,5,0.7862306150980294,0,7,7,8,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,315097,22,1,2,0.10176813048310579,0,7,7,8,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,315127,22,1,3,0.29007186752045533,0,6,1,0,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,315127,22,1,3,0.24192757931305095,0,6,1,0,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,315139,23,1,0,-0.02,0,8,11,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,316049,21,0,7,1.2303145965002475,0,6,9,5,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,316049,21,0,6,0.7940130017697812,0,6,9,5,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,316065,21,0,6,0.852960886969231,0,5,1,10,1,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,316093,21,1,1,-0.37,0,6,9,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,316093,21,1,2,0.17785214993637055,0,6,9,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,316094,21,1,1,-0.37,0,2,2,1,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,316161,21,1,8,1.5313297510240227,0,9,4,10,1,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,316161,21,1,4,0.5334259595163167,0,9,4,10,1,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,316172,22,0,6,1.1200262416852638,0,8,7,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,316172,22,0,5,0.6720771506102756,0,8,7,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,317054,20,1,2,0.11344027589075267,0,5,8,5,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,317056,21,1,4,0.4571735431416891,0,5,7,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,317056,21,1,4,0.5272728850040584,0,5,7,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,317106,20,0,3,0.30469201497966425,0,8,6,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,317135,20,0,7,1.4336305869231,0,5,3,8,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,317164,20,0,7,1.4081914337864145,0,9,6,6,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,317164,20,0,7,1.6517721304413862,0,9,6,6,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,318057,19,0,5,0.6740836325869896,0,7,8,6,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,318064,19,0,8,1.884253426385112,0,11,3,10,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,318120,19,0,4,0.5460178536665625,0,4,6,8,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,318120,19,0,2,0.11223521013744175,0,4,6,8,4,Greece
