bibkey,paper,task,subject,gender,choice,r,Period
ErtHaruvy2017,Ert and Haruvy 2017,HL,54,1,9,2.6534171800408513,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,55,1,3,0.3071524641010911,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,56,1,3,0.11031256003072486,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,57,1,3,0.09517053199466319,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,58,1,7,1.1576007957942782,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,59,1,2,-0.23498283557593821,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,60,1,7,1.3106738784443586,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,1,0,2,-0.14403818080201744,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,2,0,6,1.0142260168213397,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,3,0,2,-0.026175871193408917,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,4,0,5,0.7021490343892947,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,5,1,6,1.0496092211687937,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,6,1,6,1.098765946831554,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,7,1,7,1.4487766756815836,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,8,1,3,0.27385146198561416,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,9,1,1,-0.37,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,10,1,7,1.4486795505974441,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,11,1,3,0.3099560059257783,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,12,1,8,1.896959409546107,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,13,1,2,-0.2789289172552526,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,14,1,9,2.30984758480452,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,15,0,5,0.8187792917061597,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,16,0,10,2.71,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,17,1,8,1.8784738060366362,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,18,1,2,0.022450538277626053,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,19,1,6,1.0854762466391548,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,20,1,2,-0.2650980187393725,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,21,1,5,0.6224691202398389,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,22,1,2,0.02676380632445219,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,23,1,10,2.71,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,24,1,5,0.7040836240677163,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,25,1,8,1.7890371478907765,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,26,1,5,0.6273237750213593,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,27,1,6,1.0581036750692874,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,28,1,8,1.5055813830159603,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,29,0,6,0.8631770197534934,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,30,1,6,1.1069169297581538,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,31,1,7,1.3909214246133341,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,32,1,8,1.889237096728757,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,33,1,9,2.3009358367510138,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,34,1,1,-0.37,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,35,1,8,1.5956414176663383,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,36,1,2,-0.30149122735485434,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,37,1,10,2.71,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,38,1,10,2.71,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,39,1,6,1.0706849892623722,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,40,1,7,1.273599958862178,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,41,1,3,0.11393108658725397,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,42,0,7,1.3813455768954008,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,43,0,4,0.5348846032260917,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,44,1,6,0.9811081272084266,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,45,0,6,0.9182252740953117,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,46,1,4,0.5343606357905082,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,47,1,1,-0.37,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,48,0,3,0.2221355934464373,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,49,1,7,1.1655614145472646,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,50,1,7,1.4853060815529897,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,51,1,5,0.6617757215723395,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,52,1,4,0.503281412392389,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,53,0,9,2.1448669018782676,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,54,1,7,1.3883737684320658,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,55,1,8,1.82460009183269,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,56,1,10,2.71,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,57,1,10,2.71,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,58,1,1,-0.37,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,59,1,7,1.3282636944483965,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,60,1,8,1.9036332008754835,2
ErtHaruvy2017,Ert and Haruvy 2017,HL,1,0,5,0.6799146757880226,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,2,0,6,1.0209269386017694,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,3,0,8,1.616297015780583,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,4,0,8,1.8026661473046988,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,5,1,8,1.5940645103435964,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,6,1,4,0.5481485644239,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,7,1,2,-0.27527351973578335,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,8,1,10,2.71,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,9,1,9,2.412929082363844,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,10,1,4,0.4086775153246708,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,11,1,7,1.3149511241540313,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,12,1,9,2.2828912136424333,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,13,1,7,1.2081697507714853,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,14,1,6,0.8930906822672113,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,15,0,6,0.8658945949515328,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,16,0,7,1.1771910893451423,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,17,1,6,1.1435296052135526,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,18,1,1,-0.37,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,19,1,10,2.71,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,20,1,3,0.07337326563196257,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,21,1,6,1.095078283199109,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,22,1,6,1.0588020164053886,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,23,1,5,0.5938725601695478,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,24,1,8,1.6548739755013957,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,25,1,8,1.638073336975649,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,26,1,3,0.15274272761074828,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,27,1,9,2.0017730942275374,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,28,1,8,1.5674954174738378,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,29,0,10,2.71,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,30,1,4,0.4761251533450559,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,31,1,9,2.081492172088474,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,32,1,8,1.5298966515064238,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,33,1,10,2.71,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,34,1,6,1.0188921142602338,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,35,1,7,1.4535622767964378,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,36,1,1,-0.37,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,37,1,9,1.9591678772587329,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,38,1,5,0.8049118557758629,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,39,1,1,-0.37,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,40,1,10,2.71,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,41,1,9,2.191272710310295,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,42,0,9,2.2323699273355304,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,43,0,8,1.9030147942295297,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,44,1,6,0.8971447563963011,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,45,0,4,0.549928371834103,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,46,1,8,1.9315465731732546,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,47,1,9,2.515874316105619,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,48,0,10,2.71,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,49,1,1,-0.37,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,50,1,3,0.15651319128694013,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,51,1,6,1.1067396118538453,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,52,1,6,1.0221376558998598,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,53,0,1,-0.37,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,54,1,4,0.38705437678843735,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,55,1,8,1.619444322474301,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,56,1,10,2.71,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,57,1,7,1.2124877068633213,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,58,1,10,2.71,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,59,1,7,1.3106725430535153,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,60,1,7,1.3771752080507575,3
ErtHaruvy2017,Ert and Haruvy 2017,HL,1,0,2,-0.09107332609593866,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,2,0,1,-0.37,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,3,0,9,2.214178588958457,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,4,0,4,0.4955009301775135,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,5,1,5,0.7058376871980726,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,6,1,1,-0.37,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,7,1,3,0.2822339944494888,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,8,1,2,-0.30579196128994224,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,9,1,1,-0.37,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,10,1,9,2.5082472207862883,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,11,1,8,1.5175108089344576,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,12,1,8,1.8336140618193895,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,13,1,8,1.5827156477235258,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,14,1,3,0.1690006041317247,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,15,0,5,0.692144650244154,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,16,0,9,2.1654478515125812,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,17,1,3,0.0895868382556364,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,18,1,3,0.16625532337930055,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,19,1,10,2.71,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,20,1,6,1.0205268602352588,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,21,1,4,0.46897594737820325,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,22,1,2,-0.17014190450310707,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,23,1,8,1.7800334042264148,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,24,1,2,-0.3316795898415148,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,25,1,7,1.3022792339976876,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,26,1,10,2.71,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,27,1,5,0.7681265048403293,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,28,1,1,-0.37,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,29,0,4,0.3280636176862754,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,30,1,5,0.7729470517812297,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,31,1,6,0.8512871901504695,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,32,1,8,1.7612014589924365,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,33,1,1,-0.37,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,34,1,7,1.485016467347741,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,35,1,8,1.7946347800362854,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,36,1,7,1.2625484755262733,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,37,1,9,2.4463331895601,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,38,1,9,2.4042635984811933,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,39,1,8,1.9253177692042662,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,40,1,10,2.71,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,41,1,3,0.11279359522741289,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,42,0,10,2.71,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,43,0,3,0.11995627104537562,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,44,1,4,0.32537932991748675,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,45,0,1,-0.37,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,46,1,6,1.039408305240795,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,47,1,4,0.4282096598716453,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,48,0,10,2.71,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,49,1,8,1.5408034917805344,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,50,1,9,2.2851624239608643,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,51,1,5,0.7150184200610965,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,52,1,3,0.2213598650880158,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,53,0,6,1.0420301401754841,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,54,1,8,1.9218681910494342,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,55,1,3,0.07332279748283327,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,56,1,4,0.5343620325718075,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,57,1,5,0.6712555582309141,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,58,1,3,0.11523304100148381,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,59,1,8,1.7138435862306505,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,60,1,7,1.46291241211351,4
ErtHaruvy2017,Ert and Haruvy 2017,HL,1,0,4,0.5838214149000123,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,2,0,4,0.42237359353341164,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,3,0,7,1.384732364770025,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,4,0,4,0.5389422489400022,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,5,1,3,0.049219872311223295,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,6,1,2,-0.35679082421585917,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,7,1,1,-0.37,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,8,1,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,9,1,7,1.373999721771106,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,10,1,8,1.6904510734137148,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,11,1,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,12,1,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,13,1,1,-0.37,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,14,1,7,1.330241488716565,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,15,0,1,-0.37,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,16,0,8,1.698071760693565,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,17,1,4,0.4177466043224558,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,18,1,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,19,1,8,1.8487226515216753,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,20,1,8,1.7855247014481574,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,21,1,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,22,1,4,0.33894833057420326,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,23,1,9,2.039762667585164,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,24,1,3,0.3126372913946398,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,25,1,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,26,1,3,0.17952401959337297,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,27,1,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,28,1,8,1.62956478563603,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,29,0,6,1.0866540607763453,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,30,1,3,0.2777241790224798,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,31,1,6,0.8675165196182206,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,32,1,2,-0.05948225099593396,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,33,1,5,0.6392974587762728,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,34,1,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,35,1,9,2.0008137384802103,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,36,1,6,0.9849097587401047,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,37,1,8,1.826170187140815,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,38,1,4,0.5066988761909306,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,39,1,4,0.5477145077358,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,40,1,3,0.21913726412691178,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,41,1,9,2.2257782941590993,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,42,0,7,1.3068281395593657,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,43,0,2,-0.01921056637540458,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,44,1,2,-0.0544033977948129,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,45,0,6,0.8730658357962966,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,46,1,9,2.1106638196203855,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,47,1,9,2.6895811242982743,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,48,0,9,2.488072579093277,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,49,1,6,1.0481944988248868,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,50,1,4,0.5018531577172689,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,51,1,3,0.07499428304145113,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,52,1,3,0.09407227749470622,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,53,0,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,54,1,4,0.3442060539545491,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,55,1,8,1.7133036248013376,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,56,1,4,0.4296838103071786,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,57,1,4,0.48973165492992843,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,58,1,3,0.31839691931148995,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,59,1,8,1.7815327290399,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,60,1,10,2.71,5
ErtHaruvy2017,Ert and Haruvy 2017,HL,1,0,5,0.827182725071907,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,2,0,7,1.3521509316936136,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,3,0,1,-0.37,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,4,0,9,2.5376072119083255,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,5,1,3,0.13627653078874574,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,6,1,6,1.0031900729984045,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,7,1,6,1.1296082077082246,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,8,1,7,1.1757715710951016,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,9,1,5,0.7189854230592028,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,10,1,3,0.05620646999683231,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,11,1,7,1.3232811233820394,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,12,1,7,1.418100115461275,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,13,1,8,1.8637414043070748,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,14,1,6,0.988978838501498,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,15,0,9,2.5107324276771394,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,16,0,6,0.9367539998842402,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,17,1,4,0.5159394794213585,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,18,1,5,0.7349013648275285,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,19,1,6,1.1022537988843395,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,20,1,10,2.71,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,21,1,4,0.3270383401052095,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,22,1,4,0.5629578401753679,6
ErtHaruvy2017,Ert and Haruvy 2017,HL,23,1,6,1.0879001909168435,6
