id,risk_gain,risk_loss,age,gender
258,5,6,25,1
259,5,7,19,0
260,5,7,19,0
261,5,8,23,0
262,4,7,21,0
263,4,5,20,0
264,6,5,23,1
265,5,5,19,1
266,5,6,20,0
267,5,5,19,0
268,5,5,19,1
269,5,7,18,
270,5,6,20,0
271,5,8,19,1
272,4,7,20,1
273,,6,19,1
274,5,5,22,0
275,4,7,20,1
276,5,6,19,0
277,4,7,18,0
278,5,7,21,0
279,4,6,22,0
280,,,19,0
281,4,6,23,0
282,5,5,21,0
283,5,6,18,1
284,6,6,18,0
285,3,7,19,0
286,6,7,21,0
287,1,10,19,1
288,5,6,20,1
289,4,5,19,1
290,10,10,20,0
291,5,4,19,0
292,7,6,23,1
293,4,7,20,1
294,5,6,21,1
295,5,6,18,0
296,5,7,22,0
297,6,5,20,1
298,5,5,24,1
299,2,5,21,1
300,5,6,20,0
301,6,5,22,0
302,6,5,19,
303,5,6,20,1
304,5,6,22,0
305,4,6,23,0
306,5,7,20,0
307,4,7,21,1
308,5,6,20,1
309,5,6,21,0
310,4,6,21,1
311,6,6,23,1
312,5,7,18,1
313,5,8,19,1
314,5,7,21,1
315,5,6,21,1
316,4,6,22,1
317,5,6,19,
318,5,7,21,0
319,5,7,20,0
320,4,8,22,1
321,6,6,27,1
322,6,5,19,1
323,4,7,19,0
324,,6,18,0
325,5,6,19,0
326,5,7,20,0
327,4,8,19,0
328,5,6,18,0
329,5,6,19,1
330,5,6,22,1
331,3,7,22,0
332,,6,22,1
333,10,1,18,0
334,4,6,21,1
335,3,6,22,1
336,9,6,22,0
337,4,6,23,0
338,4,7,20,1
339,4,8,22,1
340,5,6,20,0
341,5,5,21,1
342,5,6,20,0
343,6,6,19,0
344,6,6,19,0
345,6,6,23,1
346,5,6,21,1
347,5,6,20,0
348,6,5,19,1
349,6,7,19,1
350,,6,20,0
351,4,6,21,0
352,6,6,19,
353,5,6,18,1
354,5,6,20,1
355,4,7,19,1
356,,6,20,0
357,4,8,25,1
358,5,6,20,1
359,2,6,18,0
360,4,7,20,1
361,5,5,21,0
362,6,7,28,0
363,5,6,22,1
364,1,4,20,0
365,,6,22,1
366,4,6,19,1
367,2,8,20,1
368,4,9,21,1
369,3,6,20,0
370,3,8,23,1
371,4,6,19,0
372,3,5,20,0
373,4,5,20,0
374,4,7,23,0
375,5,7,22,1
376,5,7,18,0
377,5,7,18,0
378,4,7,21,0
379,5,6,21,0
380,4,6,25,0
381,,,20,0
382,4,7,22,1
383,6,6,19,0
384,5,5,21,1
385,4,5,18,1
386,5,6,20,1
387,5,6,20,0
388,5,7,19,1
389,6,7,21,1
390,4,2,20,0
391,5,7,21,0
392,1,6,21,1
393,3,7,21,0
394,4,6,18,0
395,5,8,23,0
396,4,6,23,1
397,5,6,19,1
398,4,6,19,0
399,,4,20,1
400,4,7,21,0
401,8,7,21,1
402,3,5,21,1
403,4,5,20,1
404,3,6,20,1
405,5,6,19,0
406,4,6,19,1
407,5,6,20,0
408,3,5,21,0
409,5,6,23,0
410,4,7,19,1
411,5,5,22,0
412,5,6,22,0
413,,5,26,1
414,3,7,20,1
415,,,18,1
416,5,7,17,0
417,5,6,22,0
418,4,7,20,1
419,5,6,21,1
420,3,5,19,0
421,1,10,25,0
422,1,1,21,0
423,5,7,24,1
424,4,5,21,1
425,,7,18,1
426,6,6,20,0
427,6,6,23,0
428,5,7,21,0
429,5,5,22,0
430,3,4,19,1
431,4,4,23,0
432,4,6,20,0
433,6,6,22,1
434,5,5,22,0
435,4,6,19,1
436,5,7,20,0
437,4,6,20,1
438,5,6,21,0
439,5,6,24,1
440,4,7,21,0
441,5,6,20,0
442,,8,23,0
443,3,5,19,0
444,4,8,20,0
445,6,6,21,1
446,4,7,21,0
447,4,5,20,0
448,4,6,22,0
449,5,7,21,0
450,6,6,21,0
451,5,7,22,1
452,5,6,18,0
453,5,6,20,0
454,5,8,21,1
455,,,32,1
456,5,7,21,1
457,5,7,20,0
458,5,6,20,1
459,1,10,20,0
460,5,6,19,1
461,5,6,19,1
462,4,7,23,0
463,,,26,1
464,4,6,20,0
465,4,6,19,1
466,4,8,20,0
467,4,7,22,0
468,3,8,20,1
469,5,7,19,0
470,1,5,22,1
471,5,7,22,0
472,5,5,18,0
473,10,6,21,1
474,4,7,21,0
475,4,6,20,0
476,5,7,21,0
477,5,6,18,0
478,5,5,22,0
479,5,5,23,1
480,4,7,19,1
481,5,6,19,0
482,5,7,21,1
483,4,7,30,0
484,5,6,22,1
485,3,7,18,1
486,3,,19,0
487,7,6,21,1
488,5,6,20,0
489,4,6,21,0
490,2,7,20,0
491,4,,18,1
492,5,7,21,0
493,4,7,19,1
494,6,5,23,
495,3,6,21,1
496,4,7,19,0
497,3,7,21,0
498,5,5,20,0
499,5,7,21,0
500,5,6,20,1
501,,,18,1
502,4,7,21,1
503,,7,20,0
504,5,6,23,0
505,,7,22,0
506,5,6,21,0
507,,,28,0
508,,6,18,0
509,10,10,32,1
510,5,7,20,1
511,5,8,21,0
512,7,5,20,1
513,5,7,24,0
514,5,6,19,0
515,5,7,20,1
516,4,8,21,0
517,7,7,20,0
518,5,5,22,1
519,5,6,22,1
520,,5,20,1
521,5,6,21,1
522,5,6,21,1
523,5,7,20,1
524,6,6,20,1
525,1,5,20,1
526,5,8,20,1
527,4,7,20,0
528,5,6,21,0
529,4,6,19,0
530,4,6,19,0
531,4,7,19,0
532,4,7,21,1
533,7,6,21,1
534,4,7,23,0
535,5,6,20,1
536,5,8,19,1
537,5,9,20,0
538,5,5,21,0
539,5,6,20,1
540,6,6,22,
541,4,7,20,0
542,5,4,20,0
543,5,5,21,1
544,6,8,19,1
545,4,7,20,0
546,10,,19,0
547,4,7,20,1
548,4,6,19,0
549,5,5,19,0
550,5,6,19,1
551,10,5,22,0
552,4,6,19,0
553,4,8,20,0
554,4,7,22,1
555,6,7,20,0
556,5,4,20,0
557,7,6,21,1
558,5,8,21,0
559,5,6,20,1
560,5,9,24,1
561,6,,20,0
562,4,6,22,0
563,5,6,21,
564,5,8,19,0
565,1,6,22,1
566,7,8,18,1
567,,5,23,1
568,4,7,20,1
569,6,6,20,1
570,1,10,19,1
571,5,6,21,0
572,4,6,22,0
573,4,5,20,0
574,5,5,18,0
575,6,5,19,1
576,5,5,22,1
577,5,5,23,1
578,4,8,19,0
579,6,5,19,1
580,5,7,20,0
581,10,10,19,0
582,5,6,19,0
583,5,7,21,1
584,5,6,19,0
585,5,7,19,0
586,3,7,22,1
587,5,6,20,1
588,4,7,23,0
589,6,5,20,1
590,5,5,19,1
591,,6,19,0
592,9,6,20,1
593,5,6,19,1
594,4,4,20,0
595,6,6,20,0
596,5,7,22,0
597,4,4,19,0
598,5,4,20,0
599,3,7,21,0
600,5,6,21,0
601,4,3,20,0
602,4,7,19,1
