bibkey,paper,task,subject,choice,r,treatment,country,city,longitude,lattitude
Nielsen2019,"Nielsen, JEBO 2019",BRET,345064,64,1.7777777777777777,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345065,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345066,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345067,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345068,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345069,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345070,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345071,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345072,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345073,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345074,52,1.0833333333333333,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345075,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345076,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345077,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345078,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345079,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345080,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345081,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345082,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345083,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345084,64,1.7777777777777777,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345085,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345086,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345087,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345088,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345089,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345090,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345091,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345092,56,1.2727272727272727,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345093,56,1.2727272727272727,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345094,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345095,60,1.5,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345096,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345097,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345098,4,0.041666666666666664,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345099,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345100,100,10,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345101,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345102,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345103,52,1.0833333333333333,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345104,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345105,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345106,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345107,4,0.041666666666666664,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345108,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345109,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345110,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345111,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345112,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345113,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345114,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345115,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345116,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345117,0,0,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345118,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345119,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345120,52,1.0833333333333333,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345121,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345122,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345123,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345124,12,0.13636363636363635,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345125,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345126,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345127,4,0.041666666666666664,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345128,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345129,12,0.13636363636363635,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345130,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345131,60,1.5,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345132,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345133,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345134,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345135,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345136,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345137,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345138,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345139,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345140,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345141,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345142,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345143,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345144,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345145,4,0.041666666666666664,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345146,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345147,100,10,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345148,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345149,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345150,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345151,4,0.041666666666666664,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345152,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345153,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345154,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345155,4,0.041666666666666664,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345156,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345157,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345158,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345159,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345160,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345161,4,0.041666666666666664,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345162,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345163,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345164,0,0,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345165,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345166,56,1.2727272727272727,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345167,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345168,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345169,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345170,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345171,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345172,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345173,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345174,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345175,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345176,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345177,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345178,8,0.08695652173913043,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345179,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345180,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345181,12,0.13636363636363635,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345182,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345183,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345184,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345185,8,0.08695652173913043,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345186,0,0,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345187,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345188,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345189,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345190,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345191,56,1.2727272727272727,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345192,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345193,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345194,64,1.7777777777777777,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345195,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345196,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345197,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345198,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345199,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345200,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345201,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345202,12,0.13636363636363635,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345203,12,0.13636363636363635,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345204,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345205,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345206,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345207,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345208,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345209,68,2.125,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345210,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345211,52,1.0833333333333333,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345212,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345213,56,1.2727272727272727,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345214,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345215,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345216,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345217,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345218,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345219,52,1.0833333333333333,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345220,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345221,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345222,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345223,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345224,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345225,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345226,80,4,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345227,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345228,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345229,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345230,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345231,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345232,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345233,0,0,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345234,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345235,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345236,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345237,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345238,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345239,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345240,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345241,8,0.08695652173913043,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345242,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345243,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345244,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345245,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345246,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345247,52,1.0833333333333333,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345248,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345249,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345250,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345251,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345252,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345253,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345254,0,0,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345255,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345256,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345257,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345258,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345259,0,0,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345260,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345261,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345262,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345263,64,1.7777777777777777,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345264,12,0.13636363636363635,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345265,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345266,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345267,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345268,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345269,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345270,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345271,76,3.1666666666666665,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345272,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345273,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345274,52,1.0833333333333333,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345275,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345276,20,0.25,high stakes,United States,,,
